wallet_address,credit_score,score_category,base_score,risk_adjusted_score,total_transactions,total_volume,tenure_days,liquidation_count,repay_consistency_score
0x00000000001accfa9cef68cf5371a23025b6d4b6,579.4913531198175,Fair (500-699),486.07196469722555,534.6791611669481,1,2000.0,0,0,1.0
0x000000000051d07a4fb3bd10121a343d85818da6,581.7521661876178,Fair (500-699),486.7947737146067,535.4742510860674,1,145000000000000.0,0,0,1.0
0x000000000096026fb41fc39f9875d164bd82e2dc,612.7542385244279,Fair (500-699),496.70650757783676,546.3771583356205,2,5000000000.0,7,0,1.0
0x0000000000e189dd664b9ab08a33c4839953852c,728.4427682539742,Good (700-899),533.6935162284215,587.0628678512636,17,4835297129866.919,129,0,1.0
0x0000000002032370b971dabd36d72f3e5a7bf1ee,264.7789250552178,Very Poor (0-299),550.6494741101046,424.00009506478057,399,1.735192169438288e+17,132,0,1.7745710301539731e-12
0x000000000a38444e0a6e37d3b630d7e855a7cb13,962.5956858715509,Excellent (900-1000),608.5550086315793,669.4105094947373,25,1.0611918153072992e+16,39,0,1.0
0x000000003853fcedcd0355fec98ca3192833f00b,709.8704777302869,Good (700-899),527.7557324924998,580.5313057417497,8,45426992712.60784,7,0,1.0
0x000000003ce0cf2c037493b1dc087204bd7f713e,265.3715827645307,Very Poor (0-299),550.9201594935518,424.2085228100348,492,5.457531201407133e+17,123,0,0.0039010223897812443
0x000000007858e6f2668e1e06111cfa24403a5466,579.4927976623019,Fair (500-699),486.07242653476027,534.6796691882363,1,92647493827.74973,0,0,1.0
0x00000001a0f57e850c9db68b4a9bc34677437c5c,579.4913531197865,Fair (500-699),486.0719646972156,534.6791611669372,1,1.797442,0,0,1.0
0x0000000506063a51c6ce59906d8c40f7d7fe92a7,383.27867123932333,Poor (300-499),604.7720287148813,465.67446211045865,69,2.799429952335719e+18,30,0,1.0
0x00000029ff545c86524ade7caf132527707948c4,318.62941445732895,Poor (300-499),575.2446833574865,442.93840618526457,47,7.816530438936759e+18,2,0,1.0
0x00000087c4cebffb95746d1935de7fbcab092f40,217.81268020785188,Very Poor (0-299),529.1985154946858,407.4828569309081,250,4.218291098495466e+16,100,0,0.05618565909036595
0x000000e28faa823d5b53ff6c2922c28335840375,302.1682875251968,Poor (300-499),567.7263698595291,437.1493047918374,297,8.503793099391044e+18,137,0,0.70189963286927
0x000006eee6e39015cb523aebdd4d0b1855aba682,125.20997377631174,Very Poor (0-299),486.90395203119556,374.9160430640206,28,1.350045818666493e+17,41,3,1.0
0x00000a9c78912badb92d73b6ed26456e11def5eb,579.4913531197865,Fair (500-699),486.0719646972156,534.6791611669372,1,1.690049,0,0,1.0
0x00001bc47f0973f794f79c16121cee879e272d6a,711.1131715400016,Good (700-899),528.1530365882247,580.9683402470472,4,53394.118307,47,0,1.0
0x00002b503a75998c97508916a74fdb41934fa030,308.2883961373954,Poor (300-499),570.5216156150453,439.30164402358497,147,1.016936570256761e+18,125,0,0.7247732560713148
0x0000897253cc85f7547317eb2080b36b3255687a,643.6168546238391,Fair (500-699),506.5736556115892,557.2310211727481,2,289437121399.77435,3,0,1.0
0x0000b252c943089fbba5554a1d196ef79bc77e4f,579.4913531197865,Fair (500-699),486.0719646972156,534.6791611669372,1,1.109908,0,0,1.0
0x0000ce08fa224696a819877070bf378e8b131acf,566.0450573663363,Fair (500-699),481.77302288756647,529.9503251763232,14,2908555443489375.5,75,0,0.0
0x00010a708585ba4812a1c5976182626c75cb7a6b,943.4638519171474,Excellent (900-1000),602.4383321587488,662.6821653746238,29,820224148175395.2,79,0,1.0
